fast_days,slow_days,smoother_days,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover,validation_rank
10,60,3,validation,2024-06-03,2025-05-30,249,0.74530319585658,-0.25822218893076065,0.2801301988482295,-0.9216238828546138,-0.3750925961785926,1.976557114541637,0.7939813958569706,40.0
10,60,4,training,2020-01-02,2024-05-31,1111,1.7441342175034429,0.1346062382008073,0.29491328537444267,0.5757557108976202,-0.4274365591065685,1.8747776737734738,0.7527235017828667,38.0
10,60,4,validation,2024-06-03,2025-05-30,249,0.7474040943918139,-0.2560974544967366,0.2790766708925715,-0.9159835099285314,-0.375790681809675,1.9769663138121478,0.79397438017714,38.0
10,60,5,training,2020-01-02,2024-05-31,1111,1.6987941290438198,0.1278417590921812,0.29496414814475225,0.5554651959264677,-0.43262841557205045,1.8732751615331134,0.7520051975977676,37.0
10,60,5,validation,2024-06-03,2025-05-30,249,0.7508453469623887,-0.2526169509375754,0.27818382270869596,-0.9031430775457812,-0.3752250087315643,1.977048250103741,0.7939597797734544,37.0
10,60,6,training,2020-01-02,2024-05-31,1111,1.647688829798936,0.12004773289479997,0.2949536969234065,0.5319958363702136,-0.4371969328273384,1.8717389449267827,0.7513032448798999,36.0
10,60,6,validation,2024-06-03,2025-05-30,249,0.7559516107564412,-0.24745197120250706,0.2774154005479714,-0.8817312625170365,-0.37313679498887986,1.9774120412813239,0.7939376465234435,36.0
10,60,7,training,2020-01-02,2024-05-31,1111,1.5934901595572544,0.11157502259687946,0.2949248146217564,0.5063041358724314,-0.4411587474566575,1.8702288837876555,0.750614131200413,35.0
10,60,7,validation,2024-06-03,2025-05-30,249,0.762110705337513,-0.24122130597030034,0.2767973908715448,-0.8546927638376761,-0.3696501534784523,1.9774338789995805,0.7939097097824717,35.0
10,60,8,training,2020-01-02,2024-05-31,1111,1.5317921060928483,0.10165438172105823,0.29475694378495615,0.4760459060375637,-0.44467441186823675,1.8687652277171543,0.7499469203557986,34.0
10,60,8,validation,2024-06-03,2025-05-30,249,0.7689818429786062,-0.23426936530326503,0.2763561155071032,-0.8236722658875915,-0.36506108779751656,1.9778225448090752,0.7938790608560925,34.0
10,60,9,training,2020-01-02,2024-05-31,1111,1.4690288626762877,0.09124030662530602,0.29460515628984885,0.44393420630617325,-0.4473950251979385,1.8672671649554429,0.7492716074410556,33.0
10,60,9,validation,2024-06-03,2025-05-30,249,0.7759421214955692,-0.22722621394822762,0.27610375509091195,-0.7916913113593234,-0.359971290421794,1.9779243418404526,0.7938475075510377,33.0
20,60,2,training,2020-01-02,2024-05-31,1111,1.3157970223132924,0.06428784316897573,0.2919705559270899,0.35966412521092944,-0.444045648477261,1.8814219907580558,0.7545193152147135,29.0
20,60,2,validation,2024-06-03,2025-05-30,249,0.7992183447755663,-0.20366549930689837,0.2737301561274371,-0.6919324248788381,-0.34496795821230586,1.9798860161817058,0.793738658212015,29.0
20,60,3,training,2020-01-02,2024-05-31,1111,1.2902451454614907,0.059560081820426714,0.2917909975095865,0.3444750313399321,-0.44719497705033584,1.879676802740556,0.7538075224008973,28.0
20,60,3,validation,2024-06-03,2025-05-30,249,0.8020159884629547,-0.20083291010847504,0.2740497316638237,-0.6779335273194468,-0.34221633011970687,1.9796997064704625,0.7937213387790085,28.0
